domain_name,problem_name,experiment_name,search_elapsed_time,solution_size,expanded_nodes,heuristic_name,heuristic_elapsed_time,total_landmarks,task_landmarks,method_landmarks,fact_landmarks,mincov_disj_landmarks,mincov_disj_elapsed_time,facts,decompositions,operators,abstract_tasks,tor_elapsed_time
Hiking,p27,TDG-NOVELTY-lazy,,,,,,,,,,,,,,,,
Hiking,p27,TDG-NOVELTY,,,,,,,,,,,,,,,,
Hiking,p27,TDG,,,,,,,,,,,,,,,,
Hiking,p12,TDG,20.2269,79,1577506,,,,,,,,,,,,,
Hiking,p06,TDG-NOVELTY-lazy,7.2996,85,296053,,,,,,,,,,,,,
Hiking,p06,TDG-NOVELTY,16.0522,85,296065,,,,,,,,,,,,,
Hiking,p06,TDG,3.7968,85,296065,,,,,,,,,,,,,
Hiking,p04,TDG-NOVELTY-lazy,1.7731,61,84022,,,,,,,,,,,,,
Hiking,p04,TDG-NOVELTY,3.7303,61,84032,,,,,,,,,,,,,
Hiking,p04,TDG,0.9951,61,84032,,,,,,,,,,,,,
Hiking,p01,TDG-NOVELTY-lazy,0.0659,25,3691,,,,,,,,,,,,,
Hiking,p01,TDG-NOVELTY,0.1128,25,3691,,,,,,,,,,,,,
Hiking,p01,TDG,0.044,25,3691,,,,,,,,,,,,,
Hiking,p16,TDG-NOVELTY-lazy,7.3988,43,333708,,,,,,,,,,,,,
Hiking,p16,TDG-NOVELTY,18.5225,43,333742,,,,,,,,,,,,,
Hiking,p16,TDG,3.773,43,333742,,,,,,,,,,,,,
Hiking,p17,TDG,17.5876,57,1519001,,,,,,,,,,,,,
Hiking,p26,TDG-NOVELTY-lazy,,,,,,,,,,,,,,,,
Hiking,p26,TDG-NOVELTY,,,,,,,,,,,,,,,,
Hiking,p26,TDG,,,,,,,,,,,,,,,,
Hiking,p29,TDG-NOVELTY-lazy,,,,,,,,,,,,,,,,
Hiking,p29,TDG-NOVELTY,,,,,,,,,,,,,,,,
Hiking,p29,TDG,,,,,,,,,,,,,,,,
Hiking,p30,TDG-NOVELTY-lazy,,,,,,,,,,,,,,,,
Hiking,p30,TDG-NOVELTY,,,,,,,,,,,,,,,,
Hiking,p30,TDG,,,,,,,,,,,,,,,,
Hiking,p08,TDG-NOVELTY-lazy,0.2806,27,15382,,,,,,,,,,,,,
Hiking,p08,TDG-NOVELTY,0.5524,27,15382,,,,,,,,,,,,,
Hiking,p08,TDG,0.1787,27,15382,,,,,,,,,,,,,
Hiking,p11,TDG-NOVELTY-lazy,15.9813,66,678003,,,,,,,,,,,,,
Hiking,p11,TDG,8.0127,66,678003,,,,,,,,,,,,,
Hiking,p03,TDG-NOVELTY-lazy,0.7045,49,36937,,,,,,,,,,,,,
Hiking,p03,TDG-NOVELTY,1.4803,49,36939,,,,,,,,,,,,,
Hiking,p03,TDG,0.4162,49,36939,,,,,,,,,,,,,
Hiking,p02,TDG-NOVELTY-lazy,0.2466,37,13654,,,,,,,,,,,,,
Hiking,p02,TDG-NOVELTY,0.4577,37,13654,,,,,,,,,,,,,
Hiking,p02,TDG,0.1533,37,13654,,,,,,,,,,,,,
Hiking,p28,TDG-NOVELTY-lazy,,,,,,,,,,,,,,,,
Hiking,p28,TDG-NOVELTY,,,,,,,,,,,,,,,,
Hiking,p28,TDG,,,,,,,,,,,,,,,,
Hiking,p07,TDG-NOVELTY-lazy,12.8452,97,494230,,,,,,,,,,,,,
Hiking,p07,TDG-NOVELTY,28.7654,97,494242,,,,,,,,,,,,,
Hiking,p07,TDG,6.6915,97,494242,,,,,,,,,,,,,
Hiking,p25,TDG-NOVELTY-lazy,,,,,,,,,,,,,,,,
Hiking,p25,TDG-NOVELTY,,,,,,,,,,,,,,,,
Hiking,p25,TDG,,,,,,,,,,,,,,,,
Hiking,p05,TDG-NOVELTY-lazy,3.718,73,164955,,,,,,,,,,,,,
Hiking,p05,TDG-NOVELTY,7.9747,73,164955,,,,,,,,,,,,,
Hiking,p05,TDG,1.9973,73,164955,,,,,,,,,,,,,
Hiking,p09,TDG-NOVELTY-lazy,1.3663,40,69420,,,,,,,,,,,,,
Hiking,p09,TDG-NOVELTY,3.0783,40,69406,,,,,,,,,,,,,
Hiking,p09,TDG,0.7282,40,69406,,,,,,,,,,,,,
Hiking,p15,TDG-NOVELTY-lazy,0.9824,29,48627,,,,,,,,,,,,,
Hiking,p15,TDG-NOVELTY,2.1401,29,48698,,,,,,,,,,,,,
Hiking,p15,TDG,0.5303,29,48698,,,,,,,,,,,,,
Hiking,p10,TDG-NOVELTY-lazy,5.2773,53,244936,,,,,,,,,,,,,
Hiking,p10,TDG-NOVELTY,12.2956,53,244936,,,,,,,,,,,,,
Hiking,p10,TDG,2.7179,53,244936,,,,,,,,,,,,,
