domain,experiment_name,coverage,avg_solution_size
AssemblyHierarchical,LMCOUNT-update,3,5.00
AssemblyHierarchical,TDG-satis,3,5.00
AssemblyHierarchical,NOVELTY-yep,3,5.00
AssemblyHierarchical,NOVELTY-satistdg,3,5.00
AssemblyHierarchical,NOVELTY-lmcount-update,3,5.00
Barman-BDI,LMCOUNT-update,8,34.12
Barman-BDI,TDG-satis,6,28.50
Barman-BDI,NOVELTY-lmcount-update,7,33.29
Barman-BDI,NOVELTY-yep,5,26.80
Barman-BDI,NOVELTY-satistdg,5,25.60
Blocksworld-GTOHP,LMCOUNT-update,15,109.20
Blocksworld-GTOHP,TDG-satis,15,107.40
Blocksworld-GTOHP,NOVELTY-yep,15,107.40
Blocksworld-GTOHP,NOVELTY-satistdg,15,107.40
Blocksworld-GTOHP,NOVELTY-lmcount-update,15,109.20
Blocksworld-HPDDL,LMCOUNT-update,11,149.91
Blocksworld-HPDDL,NOVELTY-lmcount-update,11,149.91
Blocksworld-HPDDL,TDG-satis,5,66.20
Blocksworld-HPDDL,NOVELTY-yep,4,53.25
Blocksworld-HPDDL,NOVELTY-satistdg,4,53.25
Childsnack,TDG-satis,5,55.00
Childsnack,NOVELTY-yep,5,55.00
Childsnack,NOVELTY-satistdg,5,55.00
Childsnack,LMCOUNT-update,1,49.00
Childsnack,NOVELTY-lmcount-update,1,49.00
Depots,LMCOUNT-update,15,57.07
Depots,TDG-satis,15,57.07
Depots,NOVELTY-yep,15,57.07
Depots,NOVELTY-satistdg,15,57.07
Depots,NOVELTY-lmcount-update,15,57.07
Factories-simple,TDG-satis,5,109.40
Factories-simple,NOVELTY-satistdg,5,109.40
Factories-simple,LMCOUNT-update,4,61.50
Factories-simple,NOVELTY-yep,4,60.50
Factories-simple,NOVELTY-lmcount-update,4,61.00
Hiking,TDG-satis,5,49.00
Hiking,NOVELTY-yep,5,49.00
Hiking,NOVELTY-satistdg,5,49.00
Logistics-Learned-ECAI-16,LMCOUNT-update,10,59.00
Logistics-Learned-ECAI-16,TDG-satis,10,59.10
Logistics-Learned-ECAI-16,NOVELTY-yep,10,59.10
Logistics-Learned-ECAI-16,NOVELTY-satistdg,10,59.10
Logistics-Learned-ECAI-16,NOVELTY-lmcount-update,10,59.00
Minecraft-Regular,LMCOUNT-update,12,83.25
Minecraft-Regular,TDG-satis,12,83.25
Minecraft-Regular,NOVELTY-yep,12,83.25
Minecraft-Regular,NOVELTY-satistdg,12,83.25
Minecraft-Regular,NOVELTY-lmcount-update,12,83.25
Monroe-Fully-Observable,LMCOUNT-update,9,17.89
Monroe-Fully-Observable,TDG-satis,10,18.30
Monroe-Fully-Observable,NOVELTY-yep,9,17.67
Monroe-Fully-Observable,NOVELTY-satistdg,10,18.30
Monroe-Fully-Observable,NOVELTY-lmcount-update,9,17.89
Monroe-Partially-Observable,LMCOUNT-update,3,9.33
Monroe-Partially-Observable,TDG-satis,4,10.50
Monroe-Partially-Observable,NOVELTY-yep,2,7.00
Monroe-Partially-Observable,NOVELTY-satistdg,3,8.33
Monroe-Partially-Observable,NOVELTY-lmcount-update,3,9.33
Multiarm-Blocksworld,LMCOUNT-update,11,113.64
Multiarm-Blocksworld,NOVELTY-lmcount-update,10,100.50
Multiarm-Blocksworld,TDG-satis,5,37.80
Multiarm-Blocksworld,NOVELTY-yep,4,32.25
Multiarm-Blocksworld,NOVELTY-satistdg,5,37.80
Robot,LMCOUNT-update,11,15.82
Robot,TDG-satis,11,12.36
Robot,NOVELTY-yep,11,12.36
Robot,NOVELTY-satistdg,11,12.36
Robot,NOVELTY-lmcount-update,11,15.82
Rover-GTOHP,LMCOUNT-update,9,52.56
Rover-GTOHP,TDG-satis,10,68.20
Rover-GTOHP,NOVELTY-yep,10,64.30
Rover-GTOHP,NOVELTY-satistdg,10,70.00
Rover-GTOHP,NOVELTY-lmcount-update,9,52.56
Satellite-GTOHP,LMCOUNT-update,13,100.08
Satellite-GTOHP,TDG-satis,13,100.38
Satellite-GTOHP,NOVELTY-yep,12,84.17
Satellite-GTOHP,NOVELTY-satistdg,13,99.62
Satellite-GTOHP,NOVELTY-lmcount-update,12,84.67
Snake,LMCOUNT-update,2,24.50
Snake,TDG-satis,3,36.67
Snake,NOVELTY-yep,2,24.50
Snake,NOVELTY-satistdg,2,24.50
Snake,NOVELTY-lmcount-update,2,24.50
Towers,LMCOUNT-update,11,371.18
Towers,TDG-satis,11,371.18
Towers,NOVELTY-yep,10,203.60
Towers,NOVELTY-satistdg,11,371.18
Towers,NOVELTY-lmcount-update,10,203.60
Transport,TDG-satis,11,24.18
Transport,NOVELTY-yep,11,24.18
Transport,NOVELTY-satistdg,11,24.18
