domain_name,problem_name,experiment_name,search_elapsed_time,solution_size,expanded_nodes,heuristic_name,heuristic_elapsed_time,total_landmarks,task_landmarks,method_landmarks,fact_landmarks,mincov_disj_landmarks,mincov_disj_elapsed_time,facts,decompositions,operators,abstract_tasks,tor_elapsed_time
AssemblyHierarchical,genericLinearProblem_depth03,LMCOUNT-update,6.0064,7,246612,lmcount,,25,8,3,14,0,,,,,,
AssemblyHierarchical,genericLinearProblem_depth03,TDG-satis,4.2265,7,382142,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth03,NOVELTY-yep,10.4249,7,378515,novelty_yep,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth03,NOVELTY-satistdg,5.6653,7,382142,novelty_satistdg,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth03,NOVELTY-lmcount-update,7.092,7,246612,novelty_lmcount,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth02,LMCOUNT-update,0.189,5,9615,lmcount,,20,7,3,10,0,,,,,,
AssemblyHierarchical,genericLinearProblem_depth02,TDG-satis,0.0853,5,9884,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth02,NOVELTY-yep,0.2753,5,12635,novelty_yep,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth02,NOVELTY-satistdg,0.1114,5,9884,novelty_satistdg,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth02,NOVELTY-lmcount-update,0.2252,5,9615,novelty_lmcount,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth01,LMCOUNT-update,0.005,3,187,lmcount,,15,6,3,6,0,,,,,,
AssemblyHierarchical,genericLinearProblem_depth01,TDG-satis,0.0022,3,236,,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth01,NOVELTY-yep,0.0059,3,248,novelty_yep,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth01,NOVELTY-satistdg,0.0027,3,248,novelty_satistdg,,,,,,,,,,,,
AssemblyHierarchical,genericLinearProblem_depth01,NOVELTY-lmcount-update,0.0055,3,187,novelty_lmcount,,,,,,,,,,,,
Barman-BDI,pfile05,LMCOUNT-update,7.647,36,233657,lmcount,,69,4,1,64,0,,,,,,
Barman-BDI,pfile05,TDG-satis,31.4578,43,1863516,,,,,,,,,,,,,
Barman-BDI,pfile05,NOVELTY-lmcount-update,12.7389,36,233714,novelty_lmcount,,,,,,,,,,,,
Barman-BDI,pfile10,LMCOUNT-update,27.6462,40,724198,lmcount,,114,4,1,109,0,,,,,,
Barman-BDI,pfile03,LMCOUNT-update,6.9509,41,225198,lmcount,,60,4,1,55,0,,,,,,
Barman-BDI,pfile03,TDG-satis,12.5161,40,867609,,,,,,,,,,,,,
