domain,experiment_name,total_problems,coverage,avg_solution_size,avg_expanded_nodes,avg_nodes_per_second
AssemblyHierarchical,bu-lmcount,30,2,4.00,77985.50,263079.17
AssemblyHierarchical,bid-lmcount,30,2,4.00,77985.50,263872.01
AssemblyHierarchical,lmc-lmcount,30,2,4.00,90964.50,325436.39
AssemblyHierarchical,mt-lmcount,30,2,4.00,77985.50,259769.11
Barman-BDI,bu-lmcount,20,8,29.38,9388390.25,134933.59
Barman-BDI,bid-lmcount,20,8,29.38,8827572.25,135719.48
Barman-BDI,lmc-lmcount,20,7,28.57,9919801.00,144172.52
Barman-BDI,mt-lmcount,20,7,28.57,10230275.71,133921.49
Blocksworld-GTOHP,bu-lmcount,30,14,97.00,455229.93,224759.82
Blocksworld-GTOHP,bid-lmcount,30,15,102.47,714277.13,212244.79
Blocksworld-GTOHP,lmc-lmcount,30,14,97.00,447723.07,266568.22
Blocksworld-GTOHP,mt-lmcount,30,14,97.00,485900.64,230359.94
Blocksworld-HPDDL,bu-lmcount,30,4,53.25,433640.00,318325.70
Blocksworld-HPDDL,bid-lmcount,30,4,53.25,433640.00,313695.00
Blocksworld-HPDDL,lmc-lmcount,30,2,31.50,163616.00,357194.15
Blocksworld-HPDDL,mt-lmcount,30,2,31.50,160448.00,239746.88
Childsnack,bu-lmcount,10,0,0.00,0.00,0.00
Childsnack,bid-lmcount,10,0,0.00,0.00,0.00
Childsnack,lmc-lmcount,10,0,0.00,0.00,0.00
Childsnack,mt-lmcount,10,0,0.00,0.00,0.00
Depots,bu-lmcount,29,18,55.22,59490.56,280620.63
Depots,bid-lmcount,29,18,55.22,59215.28,276342.08
Depots,lmc-lmcount,29,18,55.22,52785.72,335617.53
Depots,mt-lmcount,29,18,55.22,66074.44,269174.73
Factories-simple,bu-lmcount,20,5,109.00,542652.80,294135.95
Factories-simple,bid-lmcount,20,5,109.00,538603.60,302481.60
Factories-simple,lmc-lmcount,20,5,109.00,541963.80,331837.46
Factories-simple,mt-lmcount,20,5,109.00,544307.80,312745.44
Freecell-Learned-ECAI-16,bu-lmcount,60,0,0.00,0.00,0.00
Freecell-Learned-ECAI-16,bid-lmcount,60,0,0.00,0.00,0.00
Freecell-Learned-ECAI-16,lmc-lmcount,60,0,0.00,0.00,0.00
Freecell-Learned-ECAI-16,mt-lmcount,60,0,0.00,0.00,0.00
Hiking,bu-lmcount,30,0,0.00,0.00,0.00
Hiking,bid-lmcount,30,0,0.00,0.00,0.00
Hiking,lmc-lmcount,30,0,0.00,0.00,0.00
Hiking,mt-lmcount,30,0,0.00,0.00,0.00
Logistics-Learned-ECAI-16,bu-lmcount,80,39,175.77,12725114.41,239087.67
Logistics-Learned-ECAI-16,bid-lmcount,80,39,175.77,12725114.41,242803.62
Logistics-Learned-ECAI-16,lmc-lmcount,80,39,175.77,12731284.79,276362.30
Logistics-Learned-ECAI-16,mt-lmcount,80,39,175.77,12731284.79,233746.93
Minecraft-Regular,bu-lmcount,54,44,303.23,2034.93,157926.58
Minecraft-Regular,bid-lmcount,54,44,303.23,2034.93,160581.41
Minecraft-Regular,lmc-lmcount,54,42,199.88,1425706.57,310026.42
Minecraft-Regular,mt-lmcount,54,42,199.88,139944.40,196880.35
Monroe-Fully-Observable,bu-lmcount,20,18,26.39,522508.28,87571.11
Monroe-Fully-Observable,bid-lmcount,20,11,20.00,88026.00,76786.74
Monroe-Fully-Observable,lmc-lmcount,20,19,26.21,875676.21,254185.03
Monroe-Fully-Observable,mt-lmcount,20,16,26.19,696665.00,90296.28
Monroe-Partially-Observable,bu-lmcount,20,1,5.00,233014.00,75276.71
Monroe-Partially-Observable,bid-lmcount,20,1,5.00,233014.00,78326.50
Monroe-Partially-Observable,lmc-lmcount,20,6,9.67,4957421.17,151350.66
Monroe-Partially-Observable,mt-lmcount,20,1,5.00,233014.00,77585.10
Multiarm-Blocksworld,bu-lmcount,74,12,46.50,7020594.17,264493.55
Multiarm-Blocksworld,bid-lmcount,74,12,46.50,7020592.50,264081.82
Multiarm-Blocksworld,lmc-lmcount,74,6,29.33,1346021.00,291848.77
Multiarm-Blocksworld,mt-lmcount,74,6,29.33,1309189.67,294318.69
Robot,bu-lmcount,20,11,12.36,151912.00,328390.82
Robot,bid-lmcount,20,11,12.36,151912.00,333341.32
Robot,lmc-lmcount,20,11,12.36,156102.82,313335.81
Robot,mt-lmcount,20,11,12.36,151912.00,322131.00
Rover-GTOHP,bu-lmcount,20,7,33.86,474442.29,230887.29
Rover-GTOHP,bid-lmcount,20,7,33.86,474442.29,218375.30
Rover-GTOHP,lmc-lmcount,20,8,39.62,3540000.38,247230.83
Rover-GTOHP,mt-lmcount,20,7,33.86,474597.86,233318.77
Satellite-GTOHP,bu-lmcount,20,6,31.33,8033999.33,203736.32
Satellite-GTOHP,bid-lmcount,20,6,31.33,7895687.33,205796.32
Satellite-GTOHP,lmc-lmcount,20,10,86.90,1371116.00,219603.58
Satellite-GTOHP,mt-lmcount,20,6,31.33,9087357.33,208301.95
Snake,bu-lmcount,27,3,36.67,1576161.33,200220.63
Snake,bid-lmcount,27,2,24.50,212969.00,243283.66
Snake,lmc-lmcount,27,4,49.75,45262172.75,243997.33
Snake,mt-lmcount,27,2,24.50,387488.00,225850.62
Towers,bu-lmcount,20,15,4367.93,7245460.93,325408.40
Towers,bid-lmcount,20,15,4367.93,7245460.93,324478.06
Towers,lmc-lmcount,20,15,4367.93,7245460.93,370535.86
Towers,mt-lmcount,20,15,4367.93,7245460.93,324823.42
Transport,bu-lmcount,40,0,0.00,0.00,0.00
Transport,bid-lmcount,40,0,0.00,0.00,0.00
Transport,lmc-lmcount,40,0,0.00,0.00,0.00
Transport,mt-lmcount,40,0,0.00,0.00,0.00
Woodworking,bu-lmcount,30,0,0.00,0.00,0.00
Woodworking,bid-lmcount,30,0,0.00,0.00,0.00
Woodworking,lmc-lmcount,30,0,0.00,0.00,0.00
Woodworking,mt-lmcount,30,0,0.00,0.00,0.00
Total,bu-lmcount,684,207,438.54,4077370.92,220187.45
Total,bid-lmcount,684,200,453.20,4151378.36,224746.50
Total,lmc-lmcount,683,208,414.38,4924101.13,284852.31
Total,mt-lmcount,682,193,441.18,4007301.04,227949.60
