domain_name,problem_name,experiment_name,search_elapsed_time,solution_size,expanded_nodes,nodes_per_second,heuristic_name,heuristic_elapsed_time,total_landmarks,disj_landmarks,abtask_landmarks,operator_landmarks,method_landmarks,fact_landmarks
AssemblyHierarchical,genericLinearProblem_depth25,bu-lmcount,,,,,lmcount,0.0174,161,0,28,3,102,
AssemblyHierarchical,genericLinearProblem_depth25,bid-lmcount,,,,,lmcount,0.0361,161,0,28,3,102,
AssemblyHierarchical,genericLinearProblem_depth25,lmc-lmcount,,,,,lmcount,0.0272,55,53,0,2,0,
AssemblyHierarchical,genericLinearProblem_depth25,mt-lmcount,,,,,lmcount,0.0087,59,0,28,3,0,
AssemblyHierarchical,genericLinearProblem_depth18,bu-lmcount,,,,,lmcount,0.0093,119,0,21,3,74,
AssemblyHierarchical,genericLinearProblem_depth18,bid-lmcount,,,,,lmcount,0.0196,119,0,21,3,74,
AssemblyHierarchical,genericLinearProblem_depth18,lmc-lmcount,,,,,lmcount,0.0156,41,39,0,2,0,
AssemblyHierarchical,genericLinearProblem_depth18,mt-lmcount,,,,,lmcount,0.0041,45,0,21,3,0,
AssemblyHierarchical,genericLinearProblem_depth15,bu-lmcount,,,,,lmcount,0.0068,101,0,18,3,62,
AssemblyHierarchical,genericLinearProblem_depth15,bid-lmcount,,,,,lmcount,0.0142,101,0,18,3,62,
AssemblyHierarchical,genericLinearProblem_depth15,lmc-lmcount,,,,,lmcount,0.0114,35,33,0,2,0,
AssemblyHierarchical,genericLinearProblem_depth15,mt-lmcount,,,,,lmcount,0.0031,39,0,18,3,0,
AssemblyHierarchical,genericLinearProblem_depth13,bu-lmcount,,,,,lmcount,0.0053,89,0,16,3,54,
AssemblyHierarchical,genericLinearProblem_depth13,bid-lmcount,,,,,lmcount,0.0119,89,0,16,3,54,
AssemblyHierarchical,genericLinearProblem_depth13,lmc-lmcount,,,,,lmcount,0.0092,31,29,0,2,0,
AssemblyHierarchical,genericLinearProblem_depth13,mt-lmcount,,,,,lmcount,0.0025,35,0,16,3,0,
AssemblyHierarchical,genericLinearProblem_depth02,bu-lmcount,0.5902,5,155660,263908.93,lmcount,0.0003,23,0,5,3,10,
AssemblyHierarchical,genericLinearProblem_depth02,bid-lmcount,0.5872,5,155660,265389.12,lmcount,0.0006,23,0,5,3,10,
AssemblyHierarchical,genericLinearProblem_depth02,lmc-lmcount,0.6419,5,181391,283179.18,lmcount,0.0012,9,7,0,2,0,
AssemblyHierarchical,genericLinearProblem_depth02,mt-lmcount,0.5921,5,155660,263013.44,lmcount,0.0002,13,0,5,3,0,
AssemblyHierarchical,genericLinearProblem_depth12,bu-lmcount,,,,,lmcount,0.0048,83,0,15,3,50,
AssemblyHierarchical,genericLinearProblem_depth12,bid-lmcount,,,,,lmcount,0.0105,83,0,15,3,50,
AssemblyHierarchical,genericLinearProblem_depth12,lmc-lmcount,,,,,lmcount,0.0086,29,27,0,2,0,
AssemblyHierarchical,genericLinearProblem_depth12,mt-lmcount,,,,,lmcount,0.0027,33,0,15,3,0,
AssemblyHierarchical,genericLinearProblem_depth20,bu-lmcount,,,,,lmcount,0.0113,131,0,23,3,82,
AssemblyHierarchical,genericLinearProblem_depth20,bid-lmcount,,,,,lmcount,0.023,131,0,23,3,82,
AssemblyHierarchical,genericLinearProblem_depth20,lmc-lmcount,,,,,lmcount,0.0189,45,43,0,2,0,
AssemblyHierarchical,genericLinearProblem_depth20,mt-lmcount,,,,,lmcount,0.0049,49,0,23,3,0,
AssemblyHierarchical,genericLinearProblem_depth22,bu-lmcount,,,,,lmcount,0.0132,143,0,25,3,90,
AssemblyHierarchical,genericLinearProblem_depth22,bid-lmcount,,,,,lmcount,0.0275,143,0,25,3,90,
AssemblyHierarchical,genericLinearProblem_depth22,lmc-lmcount,,,,,lmcount,0.0229,49,47,0,2,0,
AssemblyHierarchical,genericLinearProblem_depth22,mt-lmcount,,,,,lmcount,0.0059,53,0,25,3,0,
AssemblyHierarchical,genericLinearProblem_depth26,bu-lmcount,,,,,lmcount,0.0186,167,0,29,3,106,
AssemblyHierarchical,genericLinearProblem_depth26,bid-lmcount,,,,,lmcount,0.0386,167,0,29,3,106,
AssemblyHierarchical,genericLinearProblem_depth26,lmc-lmcount,,,,,lmcount,0.0293,57,55,0,2,0,
AssemblyHierarchical,genericLinearProblem_depth26,mt-lmcount,,,,,lmcount,0.0077,61,0,29,3,0,
AssemblyHierarchical,genericLinearProblem_depth11,bu-lmcount,,,,,lmcount,0.0041,77,0,14,3,46,
AssemblyHierarchical,genericLinearProblem_depth11,bid-lmcount,,,,,lmcount,0.0092,77,0,14,3,46,
AssemblyHierarchical,genericLinearProblem_depth11,lmc-lmcount,,,,,lmcount,0.0104,27,25,0,2,0,
AssemblyHierarchical,genericLinearProblem_depth11,mt-lmcount,,,,,lmcount,0.002,31,0,14,3,0,
AssemblyHierarchical,genericLinearProblem_depth24,bu-lmcount,,,,,lmcount,0.0158,155,0,27,3,98,
AssemblyHierarchical,genericLinearProblem_depth24,bid-lmcount,,,,,lmcount,0.0327,155,0,27,3,98,
AssemblyHierarchical,genericLinearProblem_depth24,lmc-lmcount,,,,,lmcount,0.0253,53,51,0,2,0,
AssemblyHierarchical,genericLinearProblem_depth24,mt-lmcount,,,,,lmcount,0.0066,57,0,27,3,0,
AssemblyHierarchical,genericLinearProblem_depth07,bu-lmcount,,,,,lmcount,0.0018,53,0,10,3,30,
AssemblyHierarchical,genericLinearProblem_depth07,bid-lmcount,,,,,lmcount,0.0065,53,0,10,3,30,
AssemblyHierarchical,genericLinearProblem_depth07,lmc-lmcount,,,,,lmcount,0.0033,19,17,0,2,0,
AssemblyHierarchical,genericLinearProblem_depth07,mt-lmcount,,,,,lmcount,0.0009,23,0,10,3,0,
