domain,experiment_name,coverage,avg_solution_size
AssemblyHierarchical,LMCOUNT-update,3,5.00
AssemblyHierarchical,LMCOUNT,2,4.00
Barman-BDI,LMCOUNT-update,8,34.12
Barman-BDI,LMCOUNT,4,19.00
Blocksworld-GTOHP,LMCOUNT,15,102.47
Blocksworld-GTOHP,LMCOUNT-update,15,109.20
Blocksworld-HPDDL,LMCOUNT-update,11,149.91
Blocksworld-HPDDL,LMCOUNT,7,102.29
Childsnack,LMCOUNT-update,1,49.00
Depots,LMCOUNT,15,58.67
Depots,LMCOUNT-update,15,57.07
Factories-simple,LMCOUNT,5,109.00
Factories-simple,LMCOUNT-update,5,110.20
Logistics-Learned-ECAI-16,LMCOUNT,10,59.10
Logistics-Learned-ECAI-16,LMCOUNT-update,10,59.00
Minecraft-Regular,LMCOUNT,12,83.25
Minecraft-Regular,LMCOUNT-update,12,83.25
Monroe-Fully-Observable,LMCOUNT,10,17.90
Monroe-Fully-Observable,LMCOUNT-update,10,18.50
Monroe-Partially-Observable,LMCOUNT,1,5.00
Monroe-Partially-Observable,LMCOUNT-update,3,9.33
Multiarm-Blocksworld,LMCOUNT,8,70.25
Multiarm-Blocksworld,LMCOUNT-update,11,113.64
Robot,LMCOUNT,11,12.36
Robot,LMCOUNT-update,11,15.82
Rover-GTOHP,LMCOUNT,7,39.29
Rover-GTOHP,LMCOUNT-update,9,52.56
Satellite-GTOHP,LMCOUNT,12,81.92
Satellite-GTOHP,LMCOUNT-update,13,100.08
Snake,LMCOUNT,2,24.50
Snake,LMCOUNT-update,2,24.50
Towers,LMCOUNT,11,371.18
Towers,LMCOUNT-update,11,371.18
