domain_name,problem_name,experiment_name,search_elapsed_time,solution_size,expanded_nodes,heuristic_name,heuristic_elapsed_time,total_landmarks,task_landmarks,method_landmarks,fact_landmarks,mincov_disj_landmarks,mincov_disj_elapsed_time,facts,decompositions,operators,abstract_tasks,tor_elapsed_time
AssemblyHierarchical,genericLinearProblem_depth03,LMCOUNT-update,4.369,7,246612,lmcount,,25,8,3,14,0,,,,,,
AssemblyHierarchical,genericLinearProblem_depth02,LMCOUNT,1.7508,5,155660,lmcount,,20,7,3,10,0,,,,,,
AssemblyHierarchical,genericLinearProblem_depth02,LMCOUNT-update,0.1423,5,9615,lmcount,,20,7,3,10,0,,,,,,
AssemblyHierarchical,genericLinearProblem_depth01,LMCOUNT,0.0046,3,311,lmcount,,15,6,3,6,0,,,,,,
AssemblyHierarchical,genericLinearProblem_depth01,LMCOUNT-update,0.0043,3,187,lmcount,,15,6,3,6,0,,,,,,
Barman-BDI,pfile05,LMCOUNT-update,5.6322,36,233657,lmcount,,69,4,1,64,0,,,,,,
Barman-BDI,pfile10,LMCOUNT-update,20.4544,40,724198,lmcount,,114,4,1,109,0,,,,,,
Barman-BDI,pfile03,LMCOUNT-update,4.9572,41,225198,lmcount,,60,4,1,55,0,,,,,,
Barman-BDI,pfile02,LMCOUNT,1.9569,23,175671,lmcount,,44,3,1,40,0,,,,,,
Barman-BDI,pfile02,LMCOUNT-update,0.0352,34,1723,lmcount,,44,3,1,40,0,,,,,,
Barman-BDI,pfile04,LMCOUNT,22.8832,22,1306855,lmcount,,60,3,1,56,0,,,,,,
Barman-BDI,pfile04,LMCOUNT-update,0.0756,34,3395,lmcount,,60,3,1,56,0,,,,,,
Barman-BDI,pfile07,LMCOUNT,41.7931,22,2404513,lmcount,,75,3,1,71,0,,,,,,
Barman-BDI,pfile07,LMCOUNT-update,0.0652,33,2636,lmcount,,75,3,1,71,0,,,,,,
Barman-BDI,pfile08,LMCOUNT-update,10.1038,41,372020,lmcount,,92,4,1,87,0,,,,,,
Barman-BDI,pfile01,LMCOUNT,0.0913,9,9495,lmcount,,30,2,1,27,0,,,,,,
Barman-BDI,pfile01,LMCOUNT-update,0.0051,14,172,lmcount,,30,2,1,27,0,,,,,,
Blocksworld-GTOHP,p12,LMCOUNT,0.0305,149,1304,lmcount,,194,70,1,123,0,,,,,,
Blocksworld-GTOHP,p12,LMCOUNT-update,0.0339,151,793,lmcount,,194,70,1,123,0,,,,,,
Blocksworld-GTOHP,p13,LMCOUNT,0.0173,144,721,lmcount,,196,73,1,122,0,,,,,,
Blocksworld-GTOHP,p13,LMCOUNT-update,0.4065,144,12058,lmcount,,196,73,1,122,0,,,,,,
Blocksworld-GTOHP,p06,LMCOUNT,0.0069,78,370,lmcount,,107,41,1,65,0,,,,,,
Blocksworld-GTOHP,p06,LMCOUNT-update,0.0179,83,619,lmcount,,107,41,1,65,0,,,,,,
Blocksworld-GTOHP,p04,LMCOUNT,0.0194,61,1610,lmcount,,77,29,1,47,0,,,,,,
Blocksworld-GTOHP,p04,LMCOUNT-update,0.011,61,446,lmcount,,77,29,1,47,0,,,,,,
Blocksworld-GTOHP,p01,LMCOUNT,0.0018,20,93,lmcount,,35,13,1,21,0,,,,,,
Blocksworld-GTOHP,p01,LMCOUNT-update,0.0018,20,69,lmcount,,35,13,1,21,0,,,,,,
Blocksworld-GTOHP,p14,LMCOUNT,0.0611,163,3797,lmcount,,210,76,1,133,0,,,,,,
Blocksworld-GTOHP,p14,LMCOUNT-update,24.1247,226,648501,lmcount,,210,76,1,133,0,,,,,,
Blocksworld-GTOHP,p08,LMCOUNT,0.1019,118,8451,lmcount,,144,55,1,88,0,,,,,,
Blocksworld-GTOHP,p08,LMCOUNT-update,0.3758,122,13574,lmcount,,144,55,1,88,0,,,,,,
Blocksworld-GTOHP,p11,LMCOUNT,0.0244,152,1376,lmcount,,188,69,1,118,0,,,,,,
Blocksworld-GTOHP,p11,LMCOUNT-update,0.0343,152,785,lmcount,,188,69,1,118,0,,,,,,
Blocksworld-GTOHP,p03,LMCOUNT,0.0029,38,177,lmcount,,55,20,1,34,0,,,,,,
Blocksworld-GTOHP,p03,LMCOUNT-update,0.0036,38,136,lmcount,,55,20,1,34,0,,,,,,
Blocksworld-GTOHP,p02,LMCOUNT,0.0029,34,166,lmcount,,51,21,1,29,0,,,,,,
Blocksworld-GTOHP,p02,LMCOUNT-update,0.0038,36,143,lmcount,,51,21,1,29,0,,,,,,
Blocksworld-GTOHP,p07,LMCOUNT,0.0205,83,1467,lmcount,,104,37,1,66,0,,,,,,
Blocksworld-GTOHP,p07,LMCOUNT-update,0.0287,83,1019,lmcount,,104,37,1,66,0,,,,,,
Blocksworld-GTOHP,p05,LMCOUNT,0.0065,70,346,lmcount,,93,39,1,53,0,,,,,,
Blocksworld-GTOHP,p05,LMCOUNT-update,0.0113,78,373,lmcount,,93,39,1,53,0,,,,,,
Blocksworld-GTOHP,p09,LMCOUNT,0.0125,102,642,lmcount,,140,51,1,88,0,,,,,,
Blocksworld-GTOHP,p09,LMCOUNT-update,0.0362,108,1020,lmcount,,140,51,1,88,0,,,,,,
Blocksworld-GTOHP,p15,LMCOUNT,0.0246,179,1030,lmcount,,231,86,1,144,0,,,,,,
Blocksworld-GTOHP,p15,LMCOUNT-update,0.0874,190,1937,lmcount,,231,86,1,144,0,,,,,,
Blocksworld-GTOHP,p10,LMCOUNT,0.0709,146,5168,lmcount,,175,65,1,109,0,,,,,,
Blocksworld-GTOHP,p10,LMCOUNT-update,0.0401,146,1042,lmcount,,175,65,1,109,0,,,,,,
Blocksworld-HPDDL,pfile_045,LMCOUNT-update,1.3147,230,18691,lmcount,,268,48,2,218,0,,,,,,
Blocksworld-HPDDL,pfile_050,LMCOUNT-update,2.133,263,26769,lmcount,,301,53,2,246,0,,,,,,
