domain,experiment_name,total_problems,coverage,avg_solution_size,avg_expanded_nodes
Barman-BDI,lmcount,20,16,79.62,573880.50
Barman-BDI,Novelty-lm-f-t,20,15,67.27,627574.20
Barman-BDI,Novelty-lm-tdg-f-t,20,17,114.06,21267.82
Barman-BDI,lmcount-tdg,20,17,109.76,25175.00
Barman-BDI,Novelty-tdg-f-t,20,16,79.62,573880.50
Barman-BDI,TDG-satis,20,17,93.71,1786797.82
Barman-BDI,Novelty-bid-tdg-f-t,20,16,78.12,529736.62
Barman-BDI,Novelty-tdg-bid-f-t,20,16,79.62,573880.50
Barman-BDI,Novelty-lmonly_bu-tdg-f-t,20,15,67.27,627574.20
Blocksworld-GTOHP,lmcount,29,26,481.12,12922.35
Blocksworld-GTOHP,Novelty-lm-f-t,29,19,186.37,185965.11
Blocksworld-GTOHP,Novelty-lm-tdg-f-t,29,26,327.58,2207.73
Blocksworld-GTOHP,lmcount-tdg,29,27,910.26,3617.15
Blocksworld-GTOHP,TDG-satis,29,23,216.17,230767.61
Blocksworld-GTOHP,Novelty-tdg-f-t,29,26,481.12,12922.35
Blocksworld-GTOHP,Novelty-bid-tdg-f-t,29,19,182.84,236514.63
Blocksworld-GTOHP,Novelty-tdg-bid-f-t,29,26,481.12,12922.35
Blocksworld-GTOHP,Novelty-lmonly_bu-tdg-f-t,29,19,186.37,185965.11
Blocksworld-HPDDL,Novelty-lm-f-t,25,17,222.88,519515.82
Blocksworld-HPDDL,Novelty-lm-tdg-f-t,25,9,119.78,182917.78
Blocksworld-HPDDL,lmcount,25,5,68.60,594829.60
Blocksworld-HPDDL,lmcount-tdg,25,9,120.00,237360.22
Blocksworld-HPDDL,TDG-satis,25,6,85.67,4500436.17
Blocksworld-HPDDL,Novelty-tdg-f-t,25,5,68.60,594829.60
Blocksworld-HPDDL,Novelty-bid-tdg-f-t,25,17,222.88,519515.82
Blocksworld-HPDDL,Novelty-lmonly_bu-tdg-f-t,25,17,222.88,519515.82
Blocksworld-HPDDL,Novelty-tdg-bid-f-t,25,5,68.60,594829.60
Childsnack,lmcount,5,5,55.00,2618.20
Childsnack,Novelty-lm-f-t,5,5,55.00,2618.20
Childsnack,Novelty-lm-tdg-f-t,5,5,55.00,2618.20
Childsnack,lmcount-tdg,5,5,55.00,20784.20
Childsnack,Novelty-tdg-f-t,5,5,55.00,2618.20
Childsnack,TDG-satis,5,5,55.00,20784.20
Childsnack,Novelty-bid-tdg-f-t,5,5,55.00,2618.20
Childsnack,Novelty-tdg-bid-f-t,5,5,55.00,2618.20
Childsnack,Novelty-lmonly_bu-tdg-f-t,5,5,55.00,2618.20
Depots,lmcount,25,23,75.04,3652.48
Depots,Novelty-lm-f-t,25,25,106.08,33458.56
Depots,Novelty-lm-tdg-f-t,25,25,105.20,1954.64
Depots,lmcount-tdg,25,24,87.54,6741.88
Depots,Novelty-tdg-f-t,25,23,75.04,3652.48
Depots,TDG-satis,25,23,74.74,15716.70
Depots,Novelty-bid-tdg-f-t,25,25,106.08,2848.20
Depots,Novelty-tdg-bid-f-t,25,23,75.04,3652.48
Depots,Novelty-lmonly_bu-tdg-f-t,25,25,106.08,33458.56
Factories-simple,lmcount,11,6,167.17,1297704.33
Factories-simple,Novelty-lm-f-t,11,7,314.43,1150388.86
Factories-simple,Novelty-lm-tdg-f-t,11,8,543.00,427762.12
Factories-simple,lmcount-tdg,11,11,2737.27,3100831.64
Factories-simple,Novelty-tdg-f-t,11,6,167.17,1297704.33
Factories-simple,TDG-satis,11,6,167.17,1284579.83
Factories-simple,Novelty-bid-tdg-f-t,11,8,568.25,1672745.25
Factories-simple,Novelty-tdg-bid-f-t,11,6,167.17,1297704.33
Factories-simple,Novelty-lmonly_bu-tdg-f-t,11,7,314.43,1150388.86
Hiking,lmcount,15,12,58.00,2373670.75
Hiking,Novelty-lm-f-t,15,0,0.00,0.00
Hiking,Novelty-lm-tdg-f-t,15,12,58.00,1496741.25
Hiking,lmcount-tdg,15,13,55.46,1381583.92
Hiking,Novelty-tdg-f-t,15,12,58.00,2373670.75
Hiking,TDG-satis,15,14,58.07,2480334.43
Hiking,Novelty-bid-tdg-f-t,15,0,0.00,0.00
Hiking,Novelty-lmonly_bu-tdg-f-t,15,0,0.00,0.00
Hiking,Novelty-tdg-bid-f-t,15,11,56.09,1514022.64
Monroe-Fully-Observable,lmcount,12,12,21.50,2284.42
Monroe-Fully-Observable,Novelty-lm-f-t,12,12,22.17,89213.50
Monroe-Fully-Observable,Novelty-lm-tdg-f-t,12,12,21.50,2910.33
Monroe-Fully-Observable,lmcount-tdg,12,12,21.00,14824.83
Monroe-Fully-Observable,Novelty-tdg-f-t,12,12,21.50,2284.42
Monroe-Fully-Observable,TDG-satis,12,12,21.00,6454.67
Monroe-Fully-Observable,Novelty-bid-tdg-f-t,12,11,19.73,52222.45
Monroe-Fully-Observable,Novelty-tdg-bid-f-t,12,12,21.50,2284.42
Monroe-Fully-Observable,Novelty-lmonly_bu-tdg-f-t,12,12,22.17,89213.50
Monroe-Partially-Observable,lmcount,13,6,14.83,140754.33
Monroe-Partially-Observable,Novelty-lm-f-t,13,1,5.00,200470.00
Monroe-Partially-Observable,Novelty-lm-tdg-f-t,13,5,12.60,18268.80
Monroe-Partially-Observable,lmcount-tdg,13,5,9.40,7482.80
Monroe-Partially-Observable,Novelty-tdg-f-t,13,6,14.83,140754.33
Monroe-Partially-Observable,TDG-satis,13,6,12.17,63534.00
Monroe-Partially-Observable,Novelty-bid-tdg-f-t,13,1,5.00,169571.00
Monroe-Partially-Observable,Novelty-tdg-bid-f-t,13,5,12.60,18268.80
Monroe-Partially-Observable,Novelty-lmonly_bu-tdg-f-t,13,1,5.00,169571.00
Multiarm-Blocksworld,Novelty-lm-f-t,29,25,181.36,796841.36
Multiarm-Blocksworld,Novelty-lm-tdg-f-t,29,13,98.69,1110331.00
Multiarm-Blocksworld,lmcount,29,6,57.83,3461157.17
Multiarm-Blocksworld,lmcount-tdg,29,15,113.80,3386662.73
