domain,experiment_name,coverage,avg_solution_size,avg_expanded_nodes
AssemblyHierarchical,Novelty-tdg-f-t,4,6.00,1586004.75
AssemblyHierarchical,TDG-satis,4,6.00,1589916.50
Barman-BDI,Novelty-tdg-f-t,16,79.62,573880.50
Barman-BDI,TDG-satis,17,93.71,1786797.82
Blocksworld-GTOHP,Novelty-tdg-f-t,26,481.12,12922.35
Blocksworld-GTOHP,TDG-satis,23,216.17,230767.61
Blocksworld-HPDDL,Novelty-tdg-f-t,5,68.60,594829.60
Blocksworld-HPDDL,TDG-satis,6,85.67,4500436.17
Childsnack,Novelty-tdg-f-t,5,55.00,2618.20
Childsnack,TDG-satis,5,55.00,20784.20
Depots,Novelty-tdg-f-t,23,75.04,3652.48
Depots,TDG-satis,23,74.74,15716.70
Factories-simple,Novelty-tdg-f-t,6,167.17,1297704.33
Factories-simple,TDG-satis,6,167.17,1284579.83
Hiking,Novelty-tdg-f-t,12,58.00,2373670.75
Hiking,TDG-satis,14,58.07,2480334.43
Monroe-Fully-Observable,Novelty-tdg-f-t,12,21.50,2284.42
Monroe-Fully-Observable,TDG-satis,12,21.00,6454.67
Monroe-Partially-Observable,Novelty-tdg-f-t,6,14.83,140754.33
Monroe-Partially-Observable,TDG-satis,6,12.17,63534.00
Multiarm-Blocksworld,Novelty-tdg-f-t,6,57.83,3461157.17
Multiarm-Blocksworld,TDG-satis,6,57.83,3644911.17
Robot,Novelty-tdg-f-t,11,13.64,12616.18
Robot,TDG-satis,11,13.64,13140.00
Rover-GTOHP,Novelty-tdg-f-t,15,118.00,2311.07
Rover-GTOHP,TDG-satis,15,110.20,1177.47
Satellite-GTOHP,TDG-satis,15,135.33,6624.40
Satellite-GTOHP,Novelty-tdg-f-t,5,29.40,550.60
Snake,Novelty-tdg-f-t,4,49.75,2805419.50
Snake,TDG-satis,4,49.75,3632608.25
Towers,Novelty-tdg-f-t,4,1105.00,1158924.50
Towers,TDG-satis,4,1105.00,1158568.75
