domain_name,problem_name,experiment_name,search_elapsed_time,solution_size,expanded_nodes,heuristic_name,heuristic_elapsed_time,total_landmarks,task_landmarks,method_landmarks,fact_landmarks,mincov_disj_landmarks,mincov_disj_elapsed_time,facts,decompositions,operators,abstract_tasks,tor_elapsed_time
Barman-BDI,pfile11,Novelty-tdg-f-t,19.0555,100,421887,,,,,,,,,,,,,
Barman-BDI,pfile11,TDG-satis,5.2726,104,435499,,,,,,,,,,,,,
Barman-BDI,pfile05,Novelty-tdg-f-t,2.3646,50,95866,,,,,,,,,,,,,
Barman-BDI,pfile05,TDG-satis,0.9413,52,92943,,,,,,,,,,,,,
Barman-BDI,pfile12,Novelty-tdg-f-t,12.1672,79,276895,,,,,,,,,,,,,
Barman-BDI,pfile12,TDG-satis,6.7845,80,585056,,,,,,,,,,,,,
Barman-BDI,pfile19,TDG-satis,,,,,,,,,,,,,,,,
Barman-BDI,pfile10,Novelty-tdg-f-t,8.1273,50,220234,,,,,,,,,,,,,
Barman-BDI,pfile10,TDG-satis,2.8491,42,275105,,,,,,,,,,,,,
Barman-BDI,pfile13,Novelty-tdg-f-t,55.9714,153,870751,,,,,,,,,,,,,
Barman-BDI,pfile13,TDG-satis,13.001,157,931998,,,,,,,,,,,,,
Barman-BDI,pfile15,Novelty-tdg-f-t,250.3029,165,2775834,,,,,,,,,,,,,
Barman-BDI,pfile15,TDG-satis,41.687,160,2776946,,,,,,,,,,,,,
Barman-BDI,pfile03,Novelty-tdg-f-t,0.416,52,15402,,,,,,,,,,,,,
Barman-BDI,pfile03,TDG-satis,0.6083,46,59469,,,,,,,,,,,,,
Barman-BDI,pfile16,Novelty-tdg-f-t,254.9098,254,2813910,,,,,,,,,,,,,
Barman-BDI,pfile16,TDG-satis,48.1593,250,2888349,,,,,,,,,,,,,
Barman-BDI,pfile06,Novelty-tdg-f-t,1.4262,70,44678,,,,,,,,,,,,,
Barman-BDI,pfile06,TDG-satis,1.2035,62,113387,,,,,,,,,,,,,
Barman-BDI,pfile02,Novelty-tdg-f-t,0.5032,28,26934,,,,,,,,,,,,,
Barman-BDI,pfile02,TDG-satis,0.2466,33,26192,,,,,,,,,,,,,
Barman-BDI,pfile14,Novelty-tdg-f-t,96.3995,76,1412089,,,,,,,,,,,,,
Barman-BDI,pfile14,TDG-satis,19.6936,74,1615393,,,,,,,,,,,,,
Barman-BDI,pfile04,Novelty-tdg-f-t,0.1176,35,2756,,,,,,,,,,,,,
Barman-BDI,pfile04,TDG-satis,0.6832,28,71025,,,,,,,,,,,,,
Barman-BDI,pfile07,Novelty-tdg-f-t,0.2373,32,5069,,,,,,,,,,,,,
Barman-BDI,pfile07,TDG-satis,1.0704,30,109203,,,,,,,,,,,,,
Barman-BDI,pfile20,TDG-satis,,,,,,,,,,,,,,,,
Barman-BDI,pfile09,Novelty-tdg-f-t,5.5472,67,157432,,,,,,,,,,,,,
Barman-BDI,pfile09,TDG-satis,2.0164,67,186756,,,,,,,,,,,,,
Barman-BDI,pfile08,Novelty-tdg-f-t,1.4708,46,40973,,,,,,,,,,,,,
Barman-BDI,pfile08,TDG-satis,1.5471,44,150403,,,,,,,,,,,,,
Barman-BDI,pfile17,TDG-satis,378.6531,347,20056303,,,,,,,,,,,,,
Barman-BDI,pfile01,Novelty-tdg-f-t,0.0294,17,1378,,,,,,,,,,,,,
Barman-BDI,pfile01,TDG-satis,0.0183,17,1536,,,,,,,,,,,,,
Blocksworld-GTOHP,p27,TDG-satis,,,,,,,,,,,,,,,,
Blocksworld-GTOHP,p12,Novelty-tdg-f-t,0.0447,149,649,,,,,,,,,,,,,
Blocksworld-GTOHP,p12,TDG-satis,0.0234,149,650,,,,,,,,,,,,,
Blocksworld-GTOHP,p13,Novelty-tdg-f-t,0.0703,144,1473,,,,,,,,,,,,,
Blocksworld-GTOHP,p13,TDG-satis,0.0852,144,7057,,,,,,,,,,,,,
Blocksworld-GTOHP,p06,Novelty-tdg-f-t,0.0209,83,674,,,,,,,,,,,,,
Blocksworld-GTOHP,p06,TDG-satis,0.0121,78,951,,,,,,,,,,,,,
Blocksworld-GTOHP,p04,Novelty-tdg-f-t,0.0096,61,218,,,,,,,,,,,,,
Blocksworld-GTOHP,p04,TDG-satis,0.0054,61,218,,,,,,,,,,,,,
Blocksworld-GTOHP,p20,TDG-satis,,,,,,,,,,,,,,,,
Blocksworld-GTOHP,p01,Novelty-tdg-f-t,0.0022,20,69,,,,,,,,,,,,,
Blocksworld-GTOHP,p01,TDG-satis,0.0018,20,69,,,,,,,,,,,,,
Blocksworld-GTOHP,p23,Novelty-tdg-f-t,0.8551,634,4668,,,,,,,,,,,,,
Blocksworld-GTOHP,p23,TDG-satis,0.4682,631,11843,,,,,,,,,,,,,
Blocksworld-GTOHP,p16,Novelty-tdg-f-t,0.0918,189,1323,,,,,,,,,,,,,
Blocksworld-GTOHP,p16,TDG-satis,0.053,189,2582,,,,,,,,,,,,,
Blocksworld-GTOHP,p14,Novelty-tdg-f-t,0.1262,235,2453,,,,,,,,,,,,,
Blocksworld-GTOHP,p14,TDG-satis,0.2235,233,16404,,,,,,,,,,,,,
Blocksworld-GTOHP,p17,Novelty-tdg-f-t,0.1004,218,1280,,,,,,,,,,,,,
Blocksworld-GTOHP,p17,TDG-satis,0.0515,218,1549,,,,,,,,,,,,,
Blocksworld-GTOHP,p26,Novelty-tdg-f-t,22.4547,2000,46725,,,,,,,,,,,,,
