domain,experiment_name,coverage,avg_solution_size,avg_expanded_nodes
Barman-BDI,Novelty-bid-tdg-f-t,16,78.12,529736.62
Barman-BDI,Novelty-tdg-bid-f-t,16,79.62,573880.50
Barman-BDI,Novelty-lmonly_bu-tdg-f-t,15,67.27,627574.20
Blocksworld-GTOHP,Novelty-bid-tdg-f-t,19,182.84,236514.63
Blocksworld-GTOHP,Novelty-tdg-bid-f-t,26,481.12,12922.35
Blocksworld-GTOHP,Novelty-lmonly_bu-tdg-f-t,19,186.37,185965.11
Blocksworld-HPDDL,Novelty-bid-tdg-f-t,17,222.88,519515.82
Blocksworld-HPDDL,Novelty-lmonly_bu-tdg-f-t,17,222.88,519515.82
Blocksworld-HPDDL,Novelty-tdg-bid-f-t,5,68.60,594829.60
Childsnack,Novelty-bid-tdg-f-t,5,55.00,2618.20
Childsnack,Novelty-tdg-bid-f-t,5,55.00,2618.20
Childsnack,Novelty-lmonly_bu-tdg-f-t,5,55.00,2618.20
Depots,Novelty-bid-tdg-f-t,25,106.08,2848.20
Depots,Novelty-tdg-bid-f-t,23,75.04,3652.48
Depots,Novelty-lmonly_bu-tdg-f-t,25,106.08,33458.56
Factories-simple,Novelty-bid-tdg-f-t,8,568.25,1672745.25
Factories-simple,Novelty-tdg-bid-f-t,6,167.17,1297704.33
Factories-simple,Novelty-lmonly_bu-tdg-f-t,7,314.43,1150388.86
Hiking,Novelty-tdg-bid-f-t,11,56.09,1514022.64
Monroe-Fully-Observable,Novelty-bid-tdg-f-t,11,19.73,52222.45
Monroe-Fully-Observable,Novelty-tdg-bid-f-t,12,21.50,2284.42
Monroe-Fully-Observable,Novelty-lmonly_bu-tdg-f-t,12,22.17,89213.50
Monroe-Partially-Observable,Novelty-bid-tdg-f-t,1,5.00,169571.00
Monroe-Partially-Observable,Novelty-tdg-bid-f-t,5,12.60,18268.80
Monroe-Partially-Observable,Novelty-lmonly_bu-tdg-f-t,1,5.00,169571.00
Multiarm-Blocksworld,Novelty-bid-tdg-f-t,24,171.58,561735.25
Multiarm-Blocksworld,Novelty-lmonly_bu-tdg-f-t,24,171.58,561735.25
Multiarm-Blocksworld,Novelty-tdg-bid-f-t,5,50.80,433768.20
Robot,Novelty-bid-tdg-f-t,11,12.36,11445.82
Robot,Novelty-tdg-bid-f-t,11,13.64,12616.18
Robot,Novelty-lmonly_bu-tdg-f-t,11,12.36,11445.82
Rover-GTOHP,Novelty-bid-tdg-f-t,15,98.60,254932.40
Rover-GTOHP,Novelty-tdg-bid-f-t,15,118.00,2311.07
Rover-GTOHP,Novelty-lmonly_bu-tdg-f-t,15,98.60,254932.40
Satellite-GTOHP,Novelty-bid-tdg-f-t,12,87.42,78757.42
Satellite-GTOHP,Novelty-lmonly_bu-tdg-f-t,12,87.42,78531.42
Satellite-GTOHP,Novelty-tdg-bid-f-t,5,29.40,550.60
Snake,Novelty-bid-tdg-f-t,2,32.00,29638.00
Snake,Novelty-tdg-bid-f-t,2,24.50,57839.50
Snake,Novelty-lmonly_bu-tdg-f-t,3,47.00,2026282.67
Towers,Novelty-bid-tdg-f-t,13,1259.15,1439485.38
Towers,Novelty-tdg-bid-f-t,13,1259.15,1413437.15
Towers,Novelty-lmonly_bu-tdg-f-t,13,1259.15,1439485.38
Transport,Novelty-bid-tdg-f-t,10,27.60,123.10
Transport,Novelty-tdg-bid-f-t,4,24.50,146.75
Transport,Novelty-lmonly_bu-tdg-f-t,1,9.00,29.00
Total,Novelty-bid-tdg-f-t,189,210.05,387100.80
Total,Novelty-tdg-bid-f-t,164,225.03,353564.23
Total,Novelty-lmonly_bu-tdg-f-t,180,205.77,417151.27
