domain_name,problem_name,experiment_name,search_elapsed_time,solution_size,expanded_nodes,heuristic_name,heuristic_elapsed_time,total_landmarks,task_landmarks,method_landmarks,fact_landmarks,mincov_disj_landmarks,mincov_disj_elapsed_time,facts,decompositions,operators,abstract_tasks,tor_elapsed_time
Barman-BDI,pfile11,lmcount-tdg,0.957,119,12683,,,,,,,,,,,,,
Barman-BDI,pfile05,lmcount-tdg,0.146,61,2807,,,,,,,,,,,,,
Barman-BDI,pfile12,lmcount-tdg,0.7166,90,10279,,,,,,,,,,,,,
Barman-BDI,pfile19,lmcount-tdg,,,,,,,,,,,,,,,,
Barman-BDI,pfile10,lmcount-tdg,0.2584,53,3062,,,,,,,,,,,,,
Barman-BDI,pfile13,lmcount-tdg,1.5438,184,20388,,,,,,,,,,,,,
Barman-BDI,pfile15,lmcount-tdg,6.3839,186,57500,,,,,,,,,,,,,
Barman-BDI,pfile03,lmcount-tdg,0.1389,58,2727,,,,,,,,,,,,,
Barman-BDI,pfile16,lmcount-tdg,7.0735,294,71024,,,,,,,,,,,,,
Barman-BDI,pfile06,lmcount-tdg,0.1975,72,3814,,,,,,,,,,,,,
Barman-BDI,pfile02,lmcount-tdg,0.0585,43,1249,,,,,,,,,,,,,
Barman-BDI,pfile14,lmcount-tdg,0.842,94,8859,,,,,,,,,,,,,
Barman-BDI,pfile04,lmcount-tdg,0.0868,35,1707,,,,,,,,,,,,,
Barman-BDI,pfile07,lmcount-tdg,0.1231,32,1924,,,,,,,,,,,,,
Barman-BDI,pfile20,lmcount-tdg,,,,,,,,,,,,,,,,
Barman-BDI,pfile09,lmcount-tdg,0.3814,75,5266,,,,,,,,,,,,,
Barman-BDI,pfile08,lmcount-tdg,0.1852,52,2542,,,,,,,,,,,,,
Barman-BDI,pfile17,lmcount-tdg,55.8117,402,221516,,,,,,,,,,,,,
Barman-BDI,pfile01,lmcount-tdg,0.0251,16,628,,,,,,,,,,,,,
Barman-BDI,pfile18,lmcount-tdg,,,,,,,,,,,,,,,,
Blocksworld-GTOHP,p12,lmcount-tdg,0.035,154,518,,,,,,,,,,,,,
Blocksworld-GTOHP,p13,lmcount-tdg,0.0305,153,503,,,,,,,,,,,,,
Blocksworld-GTOHP,p06,lmcount-tdg,0.0147,78,280,,,,,,,,,,,,,
Blocksworld-GTOHP,p04,lmcount-tdg,0.0095,61,199,,,,,,,,,,,,,
Blocksworld-GTOHP,p01,lmcount-tdg,0.003,20,65,,,,,,,,,,,,,
Blocksworld-GTOHP,p23,lmcount-tdg,0.3531,639,2237,,,,,,,,,,,,,
Blocksworld-GTOHP,p14,lmcount-tdg,0.2757,236,11597,,,,,,,,,,,,,
Blocksworld-GTOHP,p17,lmcount-tdg,0.0623,218,786,,,,,,,,,,,,,
Blocksworld-GTOHP,p26,lmcount-tdg,3.1077,2002,7085,,,,,,,,,,,,,
Blocksworld-GTOHP,p18,lmcount-tdg,0.0648,246,850,,,,,,,,,,,,,
Blocksworld-GTOHP,p29,lmcount-tdg,25.3833,5466,19608,,,,,,,,,,,,,
Blocksworld-GTOHP,p22,lmcount-tdg,0.199,490,1711,,,,,,,,,,,,,
Blocksworld-GTOHP,p21,lmcount-tdg,0.1037,322,1104,,,,,,,,,,,,,
Blocksworld-GTOHP,p30,lmcount-tdg,42.4723,6796,24066,,,,,,,,,,,,,
Blocksworld-GTOHP,p19,lmcount-tdg,0.0743,241,813,,,,,,,,,,,,,
Blocksworld-GTOHP,p08,lmcount-tdg,0.0235,118,423,,,,,,,,,,,,,
Blocksworld-GTOHP,p11,lmcount-tdg,0.0376,183,628,,,,,,,,,,,,,
Blocksworld-GTOHP,p03,lmcount-tdg,0.008,38,136,,,,,,,,,,,,,
Blocksworld-GTOHP,p24,lmcount-tdg,0.7779,1003,3539,,,,,,,,,,,,,
